"Time","Day-ahead Price [EUR/MWh]"
"20.07.2022 09:00 - 20.07.2022 10:00","334.09"
"20.07.2022 10:00 - 20.07.2022 11:00","299.15"
"20.07.2022 11:00 - 20.07.2022 12:00","230.98"
"20.07.2022 12:00 - 20.07.2022 13:00","228.72"
"20.07.2022 13:00 - 20.07.2022 14:00","235.91"
"20.07.2022 14:00 - 20.07.2022 15:00","238.46"
"20.07.2022 15:00 - 20.07.2022 16:00","287.40"
"20.07.2022 16:00 - 20.07.2022 17:00","319.97"
"20.07.2022 17:00 - 20.07.2022 18:00","380.32"
"20.07.2022 18:00 - 20.07.2022 19:00","439.10"
"20.07.2022 19:00 - 20.07.2022 20:00","513.99"
"20.07.2022 20:00 - 20.07.2022 21:00","526.26"
"20.07.2022 21:00 - 20.07.2022 22:00","467.73"
"20.07.2022 22:00 - 20.07.2022 23:00","413.57"
"20.07.2022 23:00 - 21.07.2022 00:00","374.83"
"21.07.2022 00:00 - 21.07.2022 01:00","336.00"
"21.07.2022 01:00 - 21.07.2022 02:00","328.74"
"21.07.2022 02:00 - 21.07.2022 03:00","332.29"
"21.07.2022 03:00 - 21.07.2022 04:00","335.67"
"21.07.2022 04:00 - 21.07.2022 05:00","327.24"
"21.07.2022 05:00 - 21.07.2022 06:00","334.00"
"21.07.2022 06:00 - 21.07.2022 07:00","436.95"
"21.07.2022 07:00 - 21.07.2022 08:00","493.88"
"21.07.2022 08:00 - 21.07.2022 09:00","488.31"
"21.07.2022 09:00 - 21.07.2022 10:00","462.98"
"21.07.2022 10:00 - 21.07.2022 11:00","431.95"
"21.07.2022 11:00 - 21.07.2022 12:00","381.09"
"21.07.2022 12:00 - 21.07.2022 13:00","346.06"
"21.07.2022 13:00 - 21.07.2022 14:00","319.96"
"21.07.2022 14:00 - 21.07.2022 15:00","314.82"
"21.07.2022 15:00 - 21.07.2022 16:00","307.94"
"21.07.2022 16:00 - 21.07.2022 17:00","337.08"
"21.07.2022 17:00 - 21.07.2022 18:00","346.19"
"21.07.2022 18:00 - 21.07.2022 19:00","427.87"
"21.07.2022 19:00 - 21.07.2022 20:00","488.71"
"21.07.2022 20:00 - 21.07.2022 21:00","515.45"
"21.07.2022 21:00 - 21.07.2022 22:00","495.18"
"21.07.2022 22:00 - 21.07.2022 23:00","513.29"
"21.07.2022 23:00 - 22.07.2022 00:00","419.96"
"22.07.2022 00:00 - 22.07.2022 01:00","372.69"
"22.07.2022 01:00 - 22.07.2022 02:00","334.10"
"22.07.2022 02:00 - 22.07.2022 03:00","333.41"
"22.07.2022 03:00 - 22.07.2022 04:00","327.35"
"22.07.2022 04:00 - 22.07.2022 05:00","328.25"
"22.07.2022 05:00 - 22.07.2022 06:00","336.95"
"22.07.2022 06:00 - 22.07.2022 07:00","409.88"
"22.07.2022 07:00 - 22.07.2022 08:00","450.90"
"22.07.2022 08:00 - 22.07.2022 09:00","436.92"
"22.07.2022 09:00 - 22.07.2022 10:00","409.40"
"22.07.2022 10:00 - 22.07.2022 11:00","342.65"
"22.07.2022 11:00 - 22.07.2022 12:00","334.03"
"22.07.2022 12:00 - 22.07.2022 13:00","307.56"
"22.07.2022 13:00 - 22.07.2022 14:00","274.04"
"22.07.2022 14:00 - 22.07.2022 15:00","275.57"
"22.07.2022 15:00 - 22.07.2022 16:00","300.99"
"22.07.2022 16:00 - 22.07.2022 17:00","301.09"
"22.07.2022 17:00 - 22.07.2022 18:00","391.04"
"22.07.2022 18:00 - 22.07.2022 19:00","450.56"
"22.07.2022 19:00 - 22.07.2022 20:00","479.99"
"22.07.2022 20:00 - 22.07.2022 21:00","480.90"
"22.07.2022 21:00 - 22.07.2022 22:00","494.60"
"22.07.2022 22:00 - 22.07.2022 23:00","461.04"
"22.07.2022 23:00 - 23.07.2022 00:00","424.92"
"23.07.2022 00:00 - 23.07.2022 01:00","404.56"
"23.07.2022 01:00 - 23.07.2022 02:00","344.67"
"23.07.2022 02:00 - 23.07.2022 03:00","351.99"
"23.07.2022 03:00 - 23.07.2022 04:00","337.01"
"23.07.2022 04:00 - 23.07.2022 05:00","332.04"
"23.07.2022 05:00 - 23.07.2022 06:00","331.27"
"23.07.2022 06:00 - 23.07.2022 07:00","337.03"
"23.07.2022 07:00 - 23.07.2022 08:00","333.12"
"23.07.2022 08:00 - 23.07.2022 09:00","343.78"
"23.07.2022 09:00 - 23.07.2022 10:00","350.96"
"23.07.2022 10:00 - 23.07.2022 11:00","337.02"
"23.07.2022 11:00 - 23.07.2022 12:00","307.36"
"23.07.2022 12:00 - 23.07.2022 13:00","285.06"
"23.07.2022 13:00 - 23.07.2022 14:00","242.73"
"23.07.2022 14:00 - 23.07.2022 15:00","183.97"
"23.07.2022 15:00 - 23.07.2022 16:00","185.45"
"23.07.2022 16:00 - 23.07.2022 17:00","226.44"
"23.07.2022 17:00 - 23.07.2022 18:00","285.03"
"23.07.2022 18:00 - 23.07.2022 19:00","336.02"
"23.07.2022 19:00 - 23.07.2022 20:00","372.87"
"23.07.2022 20:00 - 23.07.2022 21:00","402.15"
"23.07.2022 21:00 - 23.07.2022 22:00","405.61"
"23.07.2022 22:00 - 23.07.2022 23:00","396.90"
"23.07.2022 23:00 - 24.07.2022 00:00","366.61"
"24.07.2022 00:00 - 24.07.2022 01:00","393.26"
"24.07.2022 01:00 - 24.07.2022 02:00","379.24"
"24.07.2022 02:00 - 24.07.2022 03:00","355.06"
"24.07.2022 03:00 - 24.07.2022 04:00","331.00"
"24.07.2022 04:00 - 24.07.2022 05:00","316.18"
"24.07.2022 05:00 - 24.07.2022 06:00","302.82"
"24.07.2022 06:00 - 24.07.2022 07:00","272.76"
"24.07.2022 07:00 - 24.07.2022 08:00","260.93"
"24.07.2022 08:00 - 24.07.2022 09:00","222.42"
"24.07.2022 09:00 - 24.07.2022 10:00","162.89"
"24.07.2022 10:00 - 24.07.2022 11:00","149.99"
"24.07.2022 11:00 - 24.07.2022 12:00","100.16"
"24.07.2022 12:00 - 24.07.2022 13:00","71.72"
"24.07.2022 13:00 - 24.07.2022 14:00","58.48"
"24.07.2022 14:00 - 24.07.2022 15:00","48.77"
"24.07.2022 15:00 - 24.07.2022 16:00","64.40"
"24.07.2022 16:00 - 24.07.2022 17:00","120.06"
"24.07.2022 17:00 - 24.07.2022 18:00","255.88"
"24.07.2022 18:00 - 24.07.2022 19:00","355.02"
"24.07.2022 19:00 - 24.07.2022 20:00","390.40"
"24.07.2022 20:00 - 24.07.2022 21:00","418.85"
"24.07.2022 21:00 - 24.07.2022 22:00","433.15"
"24.07.2022 22:00 - 24.07.2022 23:00","417.16"
"24.07.2022 23:00 - 25.07.2022 00:00","374.48"
"25.07.2022 00:00 - 25.07.2022 01:00","346.40"
"25.07.2022 01:00 - 25.07.2022 02:00","276.76"
"25.07.2022 02:00 - 25.07.2022 03:00","264.97"
"25.07.2022 03:00 - 25.07.2022 04:00","266.03"
"25.07.2022 04:00 - 25.07.2022 05:00","261.71"
"25.07.2022 05:00 - 25.07.2022 06:00","286.29"
"25.07.2022 06:00 - 25.07.2022 07:00","375.08"
"25.07.2022 07:00 - 25.07.2022 08:00","410.14"
"25.07.2022 08:00 - 25.07.2022 09:00","412.34"
"25.07.2022 09:00 - 25.07.2022 10:00","350.64"
"25.07.2022 10:00 - 25.07.2022 11:00","295.58"
"25.07.2022 11:00 - 25.07.2022 12:00","265.25"
"25.07.2022 12:00 - 25.07.2022 13:00","235.09"
"25.07.2022 13:00 - 25.07.2022 14:00","231.32"
"25.07.2022 14:00 - 25.07.2022 15:00","222.45"
"25.07.2022 15:00 - 25.07.2022 16:00","203.61"
"25.07.2022 16:00 - 25.07.2022 17:00","259.43"
"25.07.2022 17:00 - 25.07.2022 18:00","266.29"
"25.07.2022 18:00 - 25.07.2022 19:00","333.55"
"25.07.2022 19:00 - 25.07.2022 20:00","379.20"
"25.07.2022 20:00 - 25.07.2022 21:00","383.81"
"25.07.2022 21:00 - 25.07.2022 22:00","386.86"
"25.07.2022 22:00 - 25.07.2022 23:00","391.69"
"25.07.2022 23:00 - 26.07.2022 00:00","330.98"
"26.07.2022 00:00 - 26.07.2022 01:00","330.38"
"26.07.2022 01:00 - 26.07.2022 02:00","316.03"
"26.07.2022 02:00 - 26.07.2022 03:00","276.85"
"26.07.2022 03:00 - 26.07.2022 04:00","292.79"
"26.07.2022 04:00 - 26.07.2022 05:00","300.31"
"26.07.2022 05:00 - 26.07.2022 06:00","346.94"
"26.07.2022 06:00 - 26.07.2022 07:00","408.23"
"26.07.2022 07:00 - 26.07.2022 08:00","454.37"
"26.07.2022 08:00 - 26.07.2022 09:00","391.64"
"26.07.2022 09:00 - 26.07.2022 10:00","293.50"
"26.07.2022 10:00 - 26.07.2022 11:00","235.59"
"26.07.2022 11:00 - 26.07.2022 12:00","262.81"
"26.07.2022 12:00 - 26.07.2022 13:00","200.01"
"26.07.2022 13:00 - 26.07.2022 14:00","188.58"
"26.07.2022 14:00 - 26.07.2022 15:00","183.10"
"26.07.2022 15:00 - 26.07.2022 16:00","179.58"
"26.07.2022 16:00 - 26.07.2022 17:00","190.16"
"26.07.2022 17:00 - 26.07.2022 18:00","264.30"
"26.07.2022 18:00 - 26.07.2022 19:00","350.01"
"26.07.2022 19:00 - 26.07.2022 20:00","432.55"
"26.07.2022 20:00 - 26.07.2022 21:00","438.97"
"26.07.2022 21:00 - 26.07.2022 22:00","447.50"
"26.07.2022 22:00 - 26.07.2022 23:00","437.28"
"26.07.2022 23:00 - 27.07.2022 00:00","376.27"
"27.07.2022 00:00 - 27.07.2022 01:00","405.00"
"27.07.2022 01:00 - 27.07.2022 02:00","351.19"
"27.07.2022 02:00 - 27.07.2022 03:00","347.08"
"27.07.2022 03:00 - 27.07.2022 04:00","349.99"
"27.07.2022 04:00 - 27.07.2022 05:00","348.33"
"27.07.2022 05:00 - 27.07.2022 06:00","377.14"
"27.07.2022 06:00 - 27.07.2022 07:00","460.00"
"27.07.2022 07:00 - 27.07.2022 08:00","499.94"
"27.07.2022 08:00 - 27.07.2022 09:00","492.41"
"27.07.2022 09:00 - 27.07.2022 10:00","434.99"
"27.07.2022 10:00 - 27.07.2022 11:00","425.61"
"27.07.2022 11:00 - 27.07.2022 12:00","418.40"
"27.07.2022 12:00 - 27.07.2022 13:00","389.92"
"27.07.2022 13:00 - 27.07.2022 14:00","348.89"
"27.07.2022 14:00 - 27.07.2022 15:00","337.95"
"27.07.2022 15:00 - 27.07.2022 16:00","353.31"
"27.07.2022 16:00 - 27.07.2022 17:00","371.24"
"27.07.2022 17:00 - 27.07.2022 18:00","429.65"
"27.07.2022 18:00 - 27.07.2022 19:00","500.91"
"27.07.2022 19:00 - 27.07.2022 20:00","532.67"
"27.07.2022 20:00 - 27.07.2022 21:00","549.87"
"27.07.2022 21:00 - 27.07.2022 22:00","529.36"
"27.07.2022 22:00 - 27.07.2022 23:00","504.98"
"27.07.2022 23:00 - 28.07.2022 00:00","428.97"
"28.07.2022 00:00 - 28.07.2022 01:00","437.79"
"28.07.2022 01:00 - 28.07.2022 02:00","400.91"
"28.07.2022 02:00 - 28.07.2022 03:00","399.97"
"28.07.2022 03:00 - 28.07.2022 04:00","399.71"
"28.07.2022 04:00 - 28.07.2022 05:00","399.97"
"28.07.2022 05:00 - 28.07.2022 06:00","400.04"
"28.07.2022 06:00 - 28.07.2022 07:00","493.93"
"28.07.2022 07:00 - 28.07.2022 08:00","559.28"
"28.07.2022 08:00 - 28.07.2022 09:00","539.56"
"28.07.2022 09:00 - 28.07.2022 10:00","501.42"
"28.07.2022 10:00 - 28.07.2022 11:00","451.16"
"28.07.2022 11:00 - 28.07.2022 12:00","418.45"
"28.07.2022 12:00 - 28.07.2022 13:00","426.07"
"28.07.2022 13:00 - 28.07.2022 14:00","409.58"
"28.07.2022 14:00 - 28.07.2022 15:00","425.10"
"28.07.2022 15:00 - 28.07.2022 16:00","433.66"
"28.07.2022 16:00 - 28.07.2022 17:00","454.39"
"28.07.2022 17:00 - 28.07.2022 18:00","513.93"
"28.07.2022 18:00 - 28.07.2022 19:00","563.85"
"28.07.2022 19:00 - 28.07.2022 20:00","598.94"
"28.07.2022 20:00 - 28.07.2022 21:00","586.99"
"28.07.2022 21:00 - 28.07.2022 22:00","557.43"
"28.07.2022 22:00 - 28.07.2022 23:00","534.23"
"28.07.2022 23:00 - 29.07.2022 00:00","451.72"
"29.07.2022 00:00 - 29.07.2022 01:00","400.02"
"29.07.2022 01:00 - 29.07.2022 02:00","384.10"
"29.07.2022 02:00 - 29.07.2022 03:00","373.81"
"29.07.2022 03:00 - 29.07.2022 04:00","388.51"
"29.07.2022 04:00 - 29.07.2022 05:00","374.83"
"29.07.2022 05:00 - 29.07.2022 06:00","402.61"
"29.07.2022 06:00 - 29.07.2022 07:00","463.16"
"29.07.2022 07:00 - 29.07.2022 08:00","508.14"
"29.07.2022 08:00 - 29.07.2022 09:00","517.17"
"29.07.2022 09:00 - 29.07.2022 10:00","503.93"
"29.07.2022 10:00 - 29.07.2022 11:00","463.44"
"29.07.2022 11:00 - 29.07.2022 12:00","448.93"
"29.07.2022 12:00 - 29.07.2022 13:00","394.44"
"29.07.2022 13:00 - 29.07.2022 14:00","366.45"
"29.07.2022 14:00 - 29.07.2022 15:00","365.04"
"29.07.2022 15:00 - 29.07.2022 16:00","404.98"
"29.07.2022 16:00 - 29.07.2022 17:00","407.08"
"29.07.2022 17:00 - 29.07.2022 18:00","461.52"
"29.07.2022 18:00 - 29.07.2022 19:00","489.87"
"29.07.2022 19:00 - 29.07.2022 20:00","512.51"
"29.07.2022 20:00 - 29.07.2022 21:00","504.33"
"29.07.2022 21:00 - 29.07.2022 22:00","484.94"
"29.07.2022 22:00 - 29.07.2022 23:00","482.05"
"29.07.2022 23:00 - 30.07.2022 00:00","425.74"
"30.07.2022 00:00 - 30.07.2022 01:00","425.00"
"30.07.2022 01:00 - 30.07.2022 02:00","404.30"
"30.07.2022 02:00 - 30.07.2022 03:00","405.00"
"30.07.2022 03:00 - 30.07.2022 04:00","395.85"
"30.07.2022 04:00 - 30.07.2022 05:00","377.06"
"30.07.2022 05:00 - 30.07.2022 06:00","383.98"
"30.07.2022 06:00 - 30.07.2022 07:00","406.78"
"30.07.2022 07:00 - 30.07.2022 08:00","423.02"
"30.07.2022 08:00 - 30.07.2022 09:00","412.72"
"30.07.2022 09:00 - 30.07.2022 10:00","388.65"
"30.07.2022 10:00 - 30.07.2022 11:00","335.48"
"30.07.2022 11:00 - 30.07.2022 12:00","308.54"
"30.07.2022 12:00 - 30.07.2022 13:00","268.46"
"30.07.2022 13:00 - 30.07.2022 14:00","236.78"
"30.07.2022 14:00 - 30.07.2022 15:00","247.78"
"30.07.2022 15:00 - 30.07.2022 16:00","291.73"
"30.07.2022 16:00 - 30.07.2022 17:00","316.43"
"30.07.2022 17:00 - 30.07.2022 18:00","388.44"
"30.07.2022 18:00 - 30.07.2022 19:00","425.86"
"30.07.2022 19:00 - 30.07.2022 20:00","454.15"
"30.07.2022 20:00 - 30.07.2022 21:00","467.71"
"30.07.2022 21:00 - 30.07.2022 22:00","466.69"
"30.07.2022 22:00 - 30.07.2022 23:00","466.24"
"30.07.2022 23:00 - 31.07.2022 00:00","441.93"
"31.07.2022 00:00 - 31.07.2022 01:00","382.79"
"31.07.2022 01:00 - 31.07.2022 02:00","339.88"
"31.07.2022 02:00 - 31.07.2022 03:00","300.10"
"31.07.2022 03:00 - 31.07.2022 04:00","293.05"
"31.07.2022 04:00 - 31.07.2022 05:00","271.30"
"31.07.2022 05:00 - 31.07.2022 06:00","272.41"
"31.07.2022 06:00 - 31.07.2022 07:00","261.03"
"31.07.2022 07:00 - 31.07.2022 08:00","264.80"
"31.07.2022 08:00 - 31.07.2022 09:00","300.01"
"31.07.2022 09:00 - 31.07.2022 10:00","286.37"
"31.07.2022 10:00 - 31.07.2022 11:00","261.10"
"31.07.2022 11:00 - 31.07.2022 12:00","255.76"
"31.07.2022 12:00 - 31.07.2022 13:00","263.08"
"31.07.2022 13:00 - 31.07.2022 14:00","219.08"
"31.07.2022 14:00 - 31.07.2022 15:00","208.74"
"31.07.2022 15:00 - 31.07.2022 16:00","226.08"
"31.07.2022 16:00 - 31.07.2022 17:00","252.07"
"31.07.2022 17:00 - 31.07.2022 18:00","316.01"
"31.07.2022 18:00 - 31.07.2022 19:00","394.79"
"31.07.2022 19:00 - 31.07.2022 20:00","449.55"
"31.07.2022 20:00 - 31.07.2022 21:00","452.95"
"31.07.2022 21:00 - 31.07.2022 22:00","464.52"
"31.07.2022 22:00 - 31.07.2022 23:00","465.67"
"31.07.2022 23:00 - 01.08.2022 00:00","425.89"
"01.08.2022 00:00 - 01.08.2022 01:00","385.06"
"01.08.2022 01:00 - 01.08.2022 02:00","344.06"
"01.08.2022 02:00 - 01.08.2022 03:00","338.81"
"01.08.2022 03:00 - 01.08.2022 04:00","320.86"
"01.08.2022 04:00 - 01.08.2022 05:00","329.72"
"01.08.2022 05:00 - 01.08.2022 06:00","380.00"
"01.08.2022 06:00 - 01.08.2022 07:00","429.66"
"01.08.2022 07:00 - 01.08.2022 08:00","467.91"
"01.08.2022 08:00 - 01.08.2022 09:00","474.90"
"01.08.2022 09:00 - 01.08.2022 10:00","459.05"
"01.08.2022 10:00 - 01.08.2022 11:00","447.89"
"01.08.2022 11:00 - 01.08.2022 12:00","428.22"
"01.08.2022 12:00 - 01.08.2022 13:00","392.10"
"01.08.2022 13:00 - 01.08.2022 14:00","388.20"
"01.08.2022 14:00 - 01.08.2022 15:00","377.40"
"01.08.2022 15:00 - 01.08.2022 16:00","385.09"
"01.08.2022 16:00 - 01.08.2022 17:00","398.90"
"01.08.2022 17:00 - 01.08.2022 18:00","437.25"
"01.08.2022 18:00 - 01.08.2022 19:00","461.06"
"01.08.2022 19:00 - 01.08.2022 20:00","510.66"
"01.08.2022 20:00 - 01.08.2022 21:00","530.88"
"01.08.2022 21:00 - 01.08.2022 22:00","524.33"
"01.08.2022 22:00 - 01.08.2022 23:00","509.33"
"01.08.2022 23:00 - 02.08.2022 00:00","469.58"
"02.08.2022 00:00 - 02.08.2022 01:00","440.98"
"02.08.2022 01:00 - 02.08.2022 02:00","390.10"
"02.08.2022 02:00 - 02.08.2022 03:00","382.10"
"02.08.2022 03:00 - 02.08.2022 04:00","359.89"
"02.08.2022 04:00 - 02.08.2022 05:00","352.69"
"02.08.2022 05:00 - 02.08.2022 06:00","393.03"
"02.08.2022 06:00 - 02.08.2022 07:00","457.04"
"02.08.2022 07:00 - 02.08.2022 08:00","479.90"
"02.08.2022 08:00 - 02.08.2022 09:00","478.90"
"02.08.2022 09:00 - 02.08.2022 10:00","397.91"
"02.08.2022 10:00 - 02.08.2022 11:00","328.26"
"02.08.2022 11:00 - 02.08.2022 12:00","307.77"
"02.08.2022 12:00 - 02.08.2022 13:00","234.87"
"02.08.2022 13:00 - 02.08.2022 14:00","227.41"
"02.08.2022 14:00 - 02.08.2022 15:00","198.39"
"02.08.2022 15:00 - 02.08.2022 16:00","219.00"
"02.08.2022 16:00 - 02.08.2022 17:00","274.71"
"02.08.2022 17:00 - 02.08.2022 18:00","324.11"
"02.08.2022 18:00 - 02.08.2022 19:00","435.36"
"02.08.2022 19:00 - 02.08.2022 20:00","499.47"
"02.08.2022 20:00 - 02.08.2022 21:00","511.07"
"02.08.2022 21:00 - 02.08.2022 22:00","513.17"
"02.08.2022 22:00 - 02.08.2022 23:00","484.91"
"02.08.2022 23:00 - 03.08.2022 00:00","441.26"
"03.08.2022 00:00 - 03.08.2022 01:00","383.95"
"03.08.2022 01:00 - 03.08.2022 02:00","368.07"
"03.08.2022 02:00 - 03.08.2022 03:00","340.14"
"03.08.2022 03:00 - 03.08.2022 04:00","326.30"
"03.08.2022 04:00 - 03.08.2022 05:00","329.96"
"03.08.2022 05:00 - 03.08.2022 06:00","368.76"
"03.08.2022 06:00 - 03.08.2022 07:00","440.47"
"03.08.2022 07:00 - 03.08.2022 08:00","453.86"
"03.08.2022 08:00 - 03.08.2022 09:00","444.21"
"03.08.2022 09:00 - 03.08.2022 10:00","370.24"
"03.08.2022 10:00 - 03.08.2022 11:00","317.82"
"03.08.2022 11:00 - 03.08.2022 12:00","244.61"
"03.08.2022 12:00 - 03.08.2022 13:00","243.56"
"03.08.2022 13:00 - 03.08.2022 14:00","182.52"
"03.08.2022 14:00 - 03.08.2022 15:00","199.08"
"03.08.2022 15:00 - 03.08.2022 16:00","291.92"
"03.08.2022 16:00 - 03.08.2022 17:00","361.59"
"03.08.2022 17:00 - 03.08.2022 18:00","438.52"
"03.08.2022 18:00 - 03.08.2022 19:00","500.35"
"03.08.2022 19:00 - 03.08.2022 20:00","550.06"
"03.08.2022 20:00 - 03.08.2022 21:00","566.89"
"03.08.2022 21:00 - 03.08.2022 22:00","560.76"
"03.08.2022 22:00 - 03.08.2022 23:00","500.02"
"03.08.2022 23:00 - 04.08.2022 00:00","452.18"
"04.08.2022 00:00 - 04.08.2022 01:00","450.30"
"04.08.2022 01:00 - 04.08.2022 02:00","414.26"
"04.08.2022 02:00 - 04.08.2022 03:00","375.07"
"04.08.2022 03:00 - 04.08.2022 04:00","348.49"
"04.08.2022 04:00 - 04.08.2022 05:00","345.30"
"04.08.2022 05:00 - 04.08.2022 06:00","375.07"
"04.08.2022 06:00 - 04.08.2022 07:00","452.27"
"04.08.2022 07:00 - 04.08.2022 08:00","480.10"
"04.08.2022 08:00 - 04.08.2022 09:00","479.79"
"04.08.2022 09:00 - 04.08.2022 10:00","449.90"
"04.08.2022 10:00 - 04.08.2022 11:00","408.25"
"04.08.2022 11:00 - 04.08.2022 12:00","370.91"
"04.08.2022 12:00 - 04.08.2022 13:00","344.28"
"04.08.2022 13:00 - 04.08.2022 14:00","284.02"
"04.08.2022 14:00 - 04.08.2022 15:00","319.51"
"04.08.2022 15:00 - 04.08.2022 16:00","342.64"
"04.08.2022 16:00 - 04.08.2022 17:00","366.51"
"04.08.2022 17:00 - 04.08.2022 18:00","416.97"
"04.08.2022 18:00 - 04.08.2022 19:00","492.73"
"04.08.2022 19:00 - 04.08.2022 20:00","513.74"
"04.08.2022 20:00 - 04.08.2022 21:00","504.33"
"04.08.2022 21:00 - 04.08.2022 22:00","499.83"
"04.08.2022 22:00 - 04.08.2022 23:00","480.60"
"04.08.2022 23:00 - 05.08.2022 00:00","424.96"
"05.08.2022 00:00 - 05.08.2022 01:00","406.06"
"05.08.2022 01:00 - 05.08.2022 02:00","358.18"
"05.08.2022 02:00 - 05.08.2022 03:00","337.64"
"05.08.2022 03:00 - 05.08.2022 04:00","339.17"
"05.08.2022 04:00 - 05.08.2022 05:00","338.52"
"05.08.2022 05:00 - 05.08.2022 06:00","390.05"
"05.08.2022 06:00 - 05.08.2022 07:00","449.91"
"05.08.2022 07:00 - 05.08.2022 08:00","468.00"
"05.08.2022 08:00 - 05.08.2022 09:00","483.91"
"05.08.2022 09:00 - 05.08.2022 10:00","447.14"
"05.08.2022 10:00 - 05.08.2022 11:00","428.44"
"05.08.2022 11:00 - 05.08.2022 12:00","405.10"
"05.08.2022 12:00 - 05.08.2022 13:00","394.20"
"05.08.2022 13:00 - 05.08.2022 14:00","331.05"
"05.08.2022 14:00 - 05.08.2022 15:00","297.06"
"05.08.2022 15:00 - 05.08.2022 16:00","256.21"
"05.08.2022 16:00 - 05.08.2022 17:00","252.44"
"05.08.2022 17:00 - 05.08.2022 18:00","291.18"
"05.08.2022 18:00 - 05.08.2022 19:00","355.02"
"05.08.2022 19:00 - 05.08.2022 20:00","419.54"
"05.08.2022 20:00 - 05.08.2022 21:00","424.89"
"05.08.2022 21:00 - 05.08.2022 22:00","437.30"
"05.08.2022 22:00 - 05.08.2022 23:00","429.91"
"05.08.2022 23:00 - 06.08.2022 00:00","386.55"
"06.08.2022 00:00 - 06.08.2022 01:00","361.76"
"06.08.2022 01:00 - 06.08.2022 02:00","315.05"
"06.08.2022 02:00 - 06.08.2022 03:00","308.59"
"06.08.2022 03:00 - 06.08.2022 04:00","276.45"
"06.08.2022 04:00 - 06.08.2022 05:00","267.76"
"06.08.2022 05:00 - 06.08.2022 06:00","261.14"
"06.08.2022 06:00 - 06.08.2022 07:00","290.83"
"06.08.2022 07:00 - 06.08.2022 08:00","315.03"
"06.08.2022 08:00 - 06.08.2022 09:00","309.56"
"06.08.2022 09:00 - 06.08.2022 10:00","273.36"
"06.08.2022 10:00 - 06.08.2022 11:00","238.11"
"06.08.2022 11:00 - 06.08.2022 12:00","202.19"
"06.08.2022 12:00 - 06.08.2022 13:00","170.12"
"06.08.2022 13:00 - 06.08.2022 14:00","149.31"
"06.08.2022 14:00 - 06.08.2022 15:00","116.02"
"06.08.2022 15:00 - 06.08.2022 16:00","139.77"
"06.08.2022 16:00 - 06.08.2022 17:00","175.16"
"06.08.2022 17:00 - 06.08.2022 18:00","239.05"
"06.08.2022 18:00 - 06.08.2022 19:00","318.16"
"06.08.2022 19:00 - 06.08.2022 20:00","372.49"
"06.08.2022 20:00 - 06.08.2022 21:00","396.81"
"06.08.2022 21:00 - 06.08.2022 22:00","380.64"
"06.08.2022 22:00 - 06.08.2022 23:00","369.08"
"06.08.2022 23:00 - 07.08.2022 00:00","324.98"
"07.08.2022 00:00 - 07.08.2022 01:00","277.89"
"07.08.2022 01:00 - 07.08.2022 02:00","232.85"
"07.08.2022 02:00 - 07.08.2022 03:00","218.28"
"07.08.2022 03:00 - 07.08.2022 04:00","206.40"
"07.08.2022 04:00 - 07.08.2022 05:00","200.47"
"07.08.2022 05:00 - 07.08.2022 06:00","205.23"
"07.08.2022 06:00 - 07.08.2022 07:00","205.00"
"07.08.2022 07:00 - 07.08.2022 08:00","206.29"
"07.08.2022 08:00 - 07.08.2022 09:00","162.27"
"07.08.2022 09:00 - 07.08.2022 10:00","142.70"
"07.08.2022 10:00 - 07.08.2022 11:00","100.00"
"07.08.2022 11:00 - 07.08.2022 12:00","87.69"
"07.08.2022 12:00 - 07.08.2022 13:00","86.82"
"07.08.2022 13:00 - 07.08.2022 14:00","69.74"
"07.08.2022 14:00 - 07.08.2022 15:00","70.02"
"07.08.2022 15:00 - 07.08.2022 16:00","86.15"
"07.08.2022 16:00 - 07.08.2022 17:00","102.82"
"07.08.2022 17:00 - 07.08.2022 18:00","199.42"
"07.08.2022 18:00 - 07.08.2022 19:00","301.67"
"07.08.2022 19:00 - 07.08.2022 20:00","393.30"
"07.08.2022 20:00 - 07.08.2022 21:00","421.99"
"07.08.2022 21:00 - 07.08.2022 22:00","419.92"
"07.08.2022 22:00 - 07.08.2022 23:00","401.86"
"07.08.2022 23:00 - 08.08.2022 00:00","359.42"
"08.08.2022 00:00 - 08.08.2022 01:00","310.08"
"08.08.2022 01:00 - 08.08.2022 02:00","271.57"
"08.08.2022 02:00 - 08.08.2022 03:00","281.49"
"08.08.2022 03:00 - 08.08.2022 04:00","278.39"
"08.08.2022 04:00 - 08.08.2022 05:00","272.89"
"08.08.2022 05:00 - 08.08.2022 06:00","310.38"
"08.08.2022 06:00 - 08.08.2022 07:00","408.54"
"08.08.2022 07:00 - 08.08.2022 08:00","419.99"
"08.08.2022 08:00 - 08.08.2022 09:00","414.68"
"08.08.2022 09:00 - 08.08.2022 10:00","384.55"
"08.08.2022 10:00 - 08.08.2022 11:00","339.44"
"08.08.2022 11:00 - 08.08.2022 12:00","307.07"
"08.08.2022 12:00 - 08.08.2022 13:00","292.66"
"08.08.2022 13:00 - 08.08.2022 14:00","294.01"
"08.08.2022 14:00 - 08.08.2022 15:00","294.68"
"08.08.2022 15:00 - 08.08.2022 16:00","307.77"
"08.08.2022 16:00 - 08.08.2022 17:00","329.86"
"08.08.2022 17:00 - 08.08.2022 18:00","406.02"
